ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.210.29.201","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","171","R G Technosolutions PVT LTD","31433","socks4","34","1","2023-01-26T11:08:40.548Z","99","906","915"
"83.136.176.72","elite","AS209581","ES","Wicat","58","GUARICO CONSTRUMAT, S.L","4145","socks4","42","1","2023-01-26T11:08:40.395Z","100","806","809"
"185.203.243.160","elite","AS204601","NL","Zomro B.V.","13","Zomro B.V","24522","socks4","42","1","2023-01-26T11:08:39.454Z","100","793","796"
"47.242.155.132","elite","AS45102","HK","Alibaba.com LLC","260","Hong Kong","10900","socks4","52","1","2023-01-26T11:08:38.068Z","99","835","841"
"117.54.236.1","elite","AS9340","ID","PT IndoInternet","193","N/A","443","socks4","52","1","2023-01-26T11:08:37.262Z","100","875","878"
"37.186.125.202","elite","AS49800","AM","GNC-Alfa CJSC","82","GNC","5678","socks4","40","1","2023-01-26T11:08:36.547Z","100","859","862"
"181.78.15.115","anonymous","AS52468","CO","IFX Networks Argentina S.R.L","163","UFINET COLOMBIA, S. A","999","http","42","353","2023-01-26T11:08:36.052Z","100","859","860"
"191.253.106.140","elite","AS28343","BR","Unifique Telecomunicações SA","232","Unifique Telecomunicações SA","8080","socks4","73","1","2023-01-26T11:08:34.419Z","100","879","879"
"190.109.72.33","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","190","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","40","1","2023-01-26T11:08:34.663Z","99","848","855"
"172.67.38.96","elite","AS13335","US","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","39","1","2023-01-26T11:08:34.212Z","100","863","863"
"175.173.223.104","elite","AS4837","CN","China Unicom Liaoning Province Network","188","N/A","28643","socks5","37","1","2023-01-26T11:08:34.806Z","75","657","880"
"180.158.149.28","elite","AS4812","CN","China Telecom (Group)","181","Chinanet SH","2080","socks5","35","1","2023-01-26T11:08:34.249Z","20","174","883"
